Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins,Segment
0,137,1,0,0.0,0,243.4,114,52.0,6.06,12.2,High Value/High Interaction Users
0,84,0,0,0.0,2,299.4,71,57.0,3.1,6.6,High Value/High Interaction Users
0,118,0,0,0.0,0,223.4,98,57.0,11.03,6.3,High Value/High Interaction Users
0,117,1,0,0.19,1,184.5,97,63.9,17.58,8.7,High Value/High Interaction Users
0,74,1,0,0.34,0,187.7,127,49.4,8.17,9.1,High Value/High Interaction Users
1,161,1,0,0.0,4,332.9,67,84.0,15.89,5.4,High Value/High Interaction Users
0,93,1,0,0.0,3,190.7,114,51.0,10.91,8.1,High Value/High Interaction Users
0,73,1,0,0.0,1,224.4,90,52.0,7.98,13.0,High Value/High Interaction Users
0,20,1,0,0.32,0,190.0,109,58.2,12.91,6.3,High Value/High Interaction Users
0,75,1,0,0.0,1,226.1,105,56.0,10.08,10.3,High Value/High Interaction Users
0,172,1,0,0.0,3,212.0,121,39.0,1.56,12.6,High Value/High Interaction Users
1,12,1,0,0.0,1,249.6,118,64.0,12.62,11.8,High Value/High Interaction Users
0,65,1,0,0.0,3,211.3,120,50.0,8.13,13.2,High Value/High Interaction Users
0,142,1,0,0.35,2,187.0,133,47.5,6.73,7.4,High Value/High Interaction Users
0,52,1,0,0.32,3,191.9,108,59.2,13.49,7.8,High Value/High Interaction Users
0,60,1,0,0.0,1,220.6,57,56.0,10.56,6.8,High Value/High Interaction Users
0,10,1,0,0.0,2,186.1,112,48.0,9.51,11.4,High Value/High Interaction Users
0,81,1,0,0.11,1,175.5,67,53.1,12.47,10.2,High Value/High Interaction Users
1,121,1,1,1.57,3,198.4,129,56.7,3.77,5.8,High Value/High Interaction Users
0,125,1,0,0.0,1,229.3,103,55.0,8.87,12.0,High Value/High Interaction Users
0,174,1,0,0.0,1,192.1,97,48.0,8.5,11.4,High Value/High Interaction Users
0,43,0,0,0.0,0,251.5,105,61.0,10.64,9.3,High Value/High Interaction Users
0,126,1,0,0.0,1,211.6,70,55.0,10.85,7.8,High Value/High Interaction Users
0,138,1,0,0.0,3,241.8,93,56.0,8.53,11.8,High Value/High Interaction Users
0,147,1,0,0.0,3,248.6,83,55.0,7.45,8.0,High Value/High Interaction Users
0,90,1,0,0.0,1,203.4,146,54.0,11.34,7.3,High Value/High Interaction Users
0,85,1,0,0.0,0,235.8,109,54.0,7.86,12.0,High Value/High Interaction Users
1,82,1,0,0.21,0,300.3,109,69.1,9.05,11.7,High Value/High Interaction Users
0,46,1,0,0.26,2,214.1,72,53.6,8.22,8.2,High Value/High Interaction Users
0,144,1,0,0.0,1,201.1,99,60.0,15.18,13.2,High Value/High Interaction Users
0,116,0,0,0.3,3,215.4,104,58.0,10.24,12.6,High Value/High Interaction Users
1,106,1,0,0.0,2,210.6,96,57.0,12.46,12.4,High Value/High Interaction Users
0,111,1,0,0.0,1,214.3,118,55.0,10.43,12.0,High Value/High Interaction Users
1,128,1,0,0.0,1,237.9,125,62.0,12.38,13.9,High Value/High Interaction Users
1,155,1,0,0.0,0,203.4,100,51.0,9.55,8.9,High Value/High Interaction Users
0,78,1,0,0.0,3,252.9,93,59.0,8.92,9.5,High Value/High Interaction Users
0,104,1,0,0.3,1,278.4,106,58.0,4.05,9.8,High Value/High Interaction Users
0,99,1,0,0.0,4,198.2,87,52.0,10.37,8.7,High Value/High Interaction Users
1,120,1,0,0.0,1,212.1,131,54.0,10.47,5.3,High Value/High Interaction Users
1,77,1,0,0.0,2,251.8,72,61.0,10.29,9.8,High Value/High Interaction Users
0,108,1,0,0.34,0,178.3,137,50.4,9.45,14.6,High Value/High Interaction Users
0,95,1,0,0.0,4,238.1,65,57.0,9.36,11.8,High Value/High Interaction Users
0,157,1,0,0.0,3,229.8,90,52.0,7.4,9.6,High Value/High Interaction Users
0,120,1,0,0.0,1,165.0,100,56.0,15.86,8.3,High Value/High Interaction Users
0,103,1,0,0.0,2,185.0,117,51.0,11.17,12.6,High Value/High Interaction Users
1,74,1,0,0.21,1,282.5,114,69.1,11.0,9.4,High Value/High Interaction Users
0,97,1,0,0.0,2,239.8,125,60.0,10.74,8.7,High Value/High Interaction Users
0,46,1,0,0.21,1,210.2,92,58.1,11.37,13.1,High Value/High Interaction Users
0,121,1,0,0.0,3,190.7,103,49.0,9.18,9.8,High Value/High Interaction Users
0,85,1,0,0.4,1,201.4,52,58.0,11.47,12.0,High Value/High Interaction Users
0,78,1,0,0.0,1,231.0,115,59.0,11.52,9.5,High Value/High Interaction Users
0,82,1,0,0.0,4,200.3,96,52.0,10.06,7.1,High Value/High Interaction Users
0,163,1,0,0.0,1,197.0,109,51.0,10.13,9.1,High Value/High Interaction Users
0,91,1,0,0.0,3,203.1,106,53.0,10.51,12.0,High Value/High Interaction Users
0,103,1,0,0.0,1,246.5,47,59.0,9.78,11.7,High Value/High Interaction Users
0,140,1,0,0.0,3,231.9,101,54.0,8.01,14.3,High Value/High Interaction Users
0,83,0,0,0.26,1,271.5,87,67.6,10.82,11.7,High Value/High Interaction Users
0,121,1,0,0.0,1,181.5,121,50.0,10.92,8.5,High Value/High Interaction Users
0,113,1,0,0.0,1,193.8,99,52.0,11.07,10.6,High Value/High Interaction Users
0,65,1,0,0.0,1,187.9,116,46.0,7.88,7.5,High Value/High Interaction Users
0,56,1,0,0.0,1,226.0,112,60.0,12.43,6.9,High Value/High Interaction Users
0,96,1,0,0.0,5,260.4,115,57.0,7.3,11.5,High Value/High Interaction Users
0,151,1,0,0.0,0,178.7,116,56.0,14.61,9.8,High Value/High Interaction Users
1,83,1,0,0.0,0,337.4,120,77.0,11.37,15.8,High Value/High Interaction Users
0,6,1,0,0.0,1,183.6,117,54.0,12.84,10.2,High Value/High Interaction Users
0,141,1,0,0.0,0,217.1,110,58.0,12.08,12.0,High Value/High Interaction Users
0,146,1,0,0.0,1,206.3,151,48.0,7.43,6.1,High Value/High Interaction Users
0,148,1,0,0.39,1,202.0,102,59.9,12.16,10.9,High Value/High Interaction Users
0,32,1,0,0.0,0,230.9,87,56.0,9.37,6.3,High Value/High Interaction Users
0,68,1,0,0.0,1,237.1,105,60.0,11.18,13.2,High Value/High Interaction Users
0,179,1,0,0.0,0,219.2,92,50.0,7.47,6.1,High Value/High Interaction Users
0,94,1,0,0.0,2,252.6,104,58.0,8.45,11.1,High Value/High Interaction Users
