Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins,Segment
0,128,1,1,2.7,1,265.1,110,89.0,9.87,10.0,Low Value/Low Interaction Users
0,107,1,1,3.7,1,161.6,123,82.0,9.78,13.7,Low Value/Low Interaction Users
0,121,1,1,2.03,3,218.2,88,87.3,17.43,7.5,Low Value/Low Interaction Users
0,141,0,1,3.02,0,258.6,84,93.2,11.1,11.2,Low Value/Low Interaction Users
0,85,1,1,3.73,1,196.4,139,95.3,14.05,13.8,Low Value/Low Interaction Users
0,76,1,1,2.7,1,189.7,66,78.0,10.64,10.0,Low Value/Low Interaction Users
0,57,1,1,2.57,0,213.0,115,78.7,9.56,9.5,Low Value/Low Interaction Users
0,57,1,1,2.24,0,176.8,94,69.4,9.75,8.3,Low Value/Low Interaction Users
0,72,1,1,3.97,3,220.0,80,95.7,10.87,14.7,Low Value/Low Interaction Users
0,36,1,1,3.92,0,146.3,128,78.2,8.13,14.5,Low Value/Low Interaction Users
0,136,0,1,2.84,3,203.9,106,79.4,9.38,10.5,Low Value/Low Interaction Users
1,135,0,1,3.94,0,173.1,85,86.4,10.2,14.6,Low Value/Low Interaction Users
0,59,1,1,2.3,2,120.9,97,62.0,10.65,8.5,Low Value/Low Interaction Users
0,97,1,1,2.97,1,133.2,135,71.7,10.86,11.0,Low Value/Low Interaction Users
0,116,1,1,3.13,2,268.6,83,92.3,8.91,11.6,Low Value/Low Interaction Users
0,74,1,1,3.94,2,193.7,91,93.4,12.31,14.6,Low Value/Low Interaction Users
0,149,1,1,3.4,3,180.7,92,81.0,9.39,12.6,Low Value/Low Interaction Users
0,162,1,1,3.27,0,224.9,97,87.7,9.41,12.1,Low Value/Low Interaction Users
0,55,1,1,2.97,3,165.6,123,69.7,6.81,11.0,Low Value/Low Interaction Users
0,70,1,1,2.65,1,249.5,101,91.5,12.99,9.8,Low Value/Low Interaction Users
0,128,1,1,2.32,0,179.3,104,73.2,11.3,8.6,Low Value/Low Interaction Users
0,74,1,1,2.94,2,154.1,104,66.4,6.17,10.9,Low Value/Low Interaction Users
0,36,1,1,2.43,2,281.4,102,90.3,10.11,9.0,Low Value/Low Interaction Users
0,93,1,1,2.65,1,117.9,131,61.5,8.23,9.8,Low Value/Low Interaction Users
0,141,1,1,2.73,1,148.6,91,64.3,6.56,10.1,Low Value/Low Interaction Users
1,36,0,1,5.4,0,196.8,89,110.0,12.75,20.0,Low Value/Low Interaction Users
0,112,1,1,2.7,2,113.7,117,60.0,7.88,10.0,Low Value/Low Interaction Users
0,41,1,1,1.94,0,213.8,102,68.4,7.09,7.2,Low Value/Low Interaction Users
1,61,1,1,1.73,4,187.5,124,62.3,7.33,6.4,Low Value/Low Interaction Users
0,131,1,1,2.57,3,214.2,115,76.7,8.09,9.5,Low Value/Low Interaction Users
0,75,1,1,1.43,5,175.8,97,63.3,10.88,5.3,Low Value/Low Interaction Users
0,127,1,1,3.02,1,183.2,117,72.2,6.34,11.2,Low Value/Low Interaction Users
0,113,1,1,2.75,2,205.0,101,75.5,7.6,10.2,Low Value/Low Interaction Users
0,120,1,1,2.84,0,200.3,68,81.4,11.02,10.5,Low Value/Low Interaction Users
0,157,1,1,1.84,3,192.6,107,68.4,9.78,6.8,Low Value/Low Interaction Users
0,145,1,1,3.0,2,257.7,97,88.0,8.11,11.1,Low Value/Low Interaction Users
0,139,1,1,3.7,0,157.6,129,85.0,12.35,13.7,Low Value/Low Interaction Users
0,115,1,1,2.59,1,142.1,124,65.9,9.17,9.6,Low Value/Low Interaction Users
0,141,1,1,2.84,3,187.5,99,81.4,12.07,10.5,Low Value/Low Interaction Users
0,92,1,1,3.27,2,243.1,92,92.7,10.69,12.1,Low Value/Low Interaction Users
0,185,1,1,2.03,1,189.8,126,67.3,8.17,7.5,Low Value/Low Interaction Users
0,94,1,1,3.46,1,170.1,124,80.6,9.67,12.8,Low Value/Low Interaction Users
0,64,1,1,2.86,2,182.1,91,74.6,8.49,10.6,Low Value/Low Interaction Users
0,94,0,1,2.57,4,197.1,125,77.7,10.73,9.5,Low Value/Low Interaction Users
0,67,1,1,2.67,2,115.6,111,66.7,11.89,9.9,Low Value/Low Interaction Users
0,118,1,1,2.57,1,289.5,52,89.7,8.33,9.5,Low Value/Low Interaction Users
0,117,1,1,1.84,1,198.1,86,67.4,8.85,6.8,Low Value/Low Interaction Users
